rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1608810898933269498,,102820,,1608810898,846169510,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933290548,,102821,,1608810898,866442539,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933386607,,102822,,1608810898,885183025,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933507557,,102823,,1608810898,905390727,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898956829214,,102824,,1608810898,925219304,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898980237315,,102825,,1608810898,947219689,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899002626495,,102826,,1608810898,966357965,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899035937958,,102827,,1608810898,986475261,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899035973614,,102828,,1608810899,5175793,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899070527687,,102829,,1608810899,25166535,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899070577426,,102830,,1608810899,45138319,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899090172432,,102831,,1608810899,66219777,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
