rosbagTimestamp,data
1608810898865484161,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898865503354,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898883446189,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898883764546,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898908850551,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898908903060,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898938802569,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898938907655,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898938922634,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898939013889,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898962830320,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898962894971,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898980707668,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898980781341,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899006342100,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899006355022,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899033135274,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899033156075,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899066165215,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899066184607,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899066196227,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899066207974,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899092099453,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899092279889,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899122115385,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899122179835,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899122270533,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899122331421,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899140497356,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899140608632,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899153800096,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899153834232,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899186969802,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899186984610,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899210901116,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899210917807,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899210936588,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899210975994,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899235746111,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899235822860,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899265624972,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899265676301,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899288619547,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899288637088,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899288812219,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899322978063,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899323001801,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899323081460,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899345267012,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899345291337,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899381366079,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899381396210,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899381451302,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899381468500,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899412323482,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899412334069,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899441269422,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899441282255,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899441298185,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899441469374,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899475551019,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899475594204,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
